OTU1_clean,OTU2_clean,weight
1CMET2-PWY,HISTSYN-PWY,0.9016391893601796
1CMET2-PWY,PWY-6897,-0.3195906401029507
1CMET2-PWY,PWY-7229,0.9021267563227097
1CMET2-PWY,THISYN-PWY,-0.3099984579685623
ANAEROFRUCAT-PWY,PWY-6317,0.9012415386757878
ANAEROFRUCAT-PWY,PWY-6527,0.9002672547780985
ANAEROFRUCAT-PWY,PWY-7219,-0.40246098456523494
ANAEROFRUCAT-PWY,PWY66-422,0.900419546005012
ANAEROFRUCAT-PWY,TRNA-CHARGING-PWY,-0.33084861257236514
ANAGLYCOLYSIS-PWY,BRANCHED-CHAIN-AA-SYN-PWY,0.8953167156257233
ANAGLYCOLYSIS-PWY,HISTSYN-PWY,0.8933501399903758
ANAGLYCOLYSIS-PWY,PWY-6897,-0.24527736790271543
ANAGLYCOLYSIS-PWY,THISYN-PWY,-0.23524469338229412
ARGSYN-PWY,ARGSYNBSUB-PWY,0.895030494015004
ARGSYN-PWY,DTDPRHAMSYN-PWY,0.9035396518517813
ARGSYN-PWY,PWY-6897,-0.7702193910889414
ARGSYN-PWY,PWY-7221,0.8812440608600514
ARGSYN-PWY,PWY-7400,0.904001086646234
ARGSYN-PWY,THISYN-PWY,-0.7658527829203436
ARGSYNBSUB-PWY,PWY-6897,-0.7910408567100877
ARGSYNBSUB-PWY,PWY-7221,0.8926153610972951
ARGSYNBSUB-PWY,PWY-7400,0.8937677829128103
ARGSYNBSUB-PWY,THISYN-PWY,-0.7870223221357439
ARO-PWY,PWY-6151,0.9008515833563815
ARO-PWY,PWY-6163,0.8966050580809836
ARO-PWY,PWY-6897,-0.6221552265229541
ARO-PWY,THISYN-PWY,-0.615585915403092
BRANCHED-CHAIN-AA-SYN-PWY,HISTSYN-PWY,0.9033569551832944
BRANCHED-CHAIN-AA-SYN-PWY,PWY-6897,-0.29339841214007617
BRANCHED-CHAIN-AA-SYN-PWY,PWY-7229,0.9028752036775395
BRANCHED-CHAIN-AA-SYN-PWY,THISYN-PWY,-0.28363743410391046
CALVIN-PWY,COMPLETE-ARO-PWY,0.896047760609786
CALVIN-PWY,PWY-5097,0.9043651171553805
CALVIN-PWY,PWY-6897,-0.5316689127258217
CALVIN-PWY,THISYN-PWY,-0.5239880342029603
COA-PWY,GLUTORN-PWY,0.9042726441804049
COA-PWY,PWY-4242,0.9014438468346812
COA-PWY,PWY-6897,-0.42875467367527337
COA-PWY,PWY0-1296,0.9036358143840324
COA-PWY,RIBOSYN2-PWY,0.9028833771440987
COA-PWY,THISYN-PWY,-0.42002506006570745
COA-PWY-1,DTDPRHAMSYN-PWY,0.9040814325157953
COA-PWY-1,PWY-6386,0.9034846571819708
COA-PWY-1,PWY-6897,-0.7641706617516011
COA-PWY-1,PWY-7400,0.90362036436812
COA-PWY-1,THISYN-PWY,-0.7597047104640138
COMPLETE-ARO-PWY,PWY-5097,0.8951936200482403
COMPLETE-ARO-PWY,PWY-6897,-0.4962107622662702
COMPLETE-ARO-PWY,THISYN-PWY,-0.4881426893687642
DENOVOPURINE2-PWY,NONOXIPENT-PWY,0.8994182200199151
DENOVOPURINE2-PWY,PWY-7219,-0.4895232877345552
DENOVOPURINE2-PWY,PWY-7220,0.8944933095752517
DENOVOPURINE2-PWY,TRNA-CHARGING-PWY,-0.4240600655574004
DTDPRHAMSYN-PWY,PWY-6897,-0.7666028484343949
DTDPRHAMSYN-PWY,PWY-7400,0.9046920568850689
DTDPRHAMSYN-PWY,THISYN-PWY,-0.7621767469199888
GLUCONEO-PWY,GLYCOLYSIS,0.8964953390397487
GLUCONEO-PWY,PWY-7219,-0.7750424668445606
GLUCONEO-PWY,PWY-7228,0.9040009765819947
GLUCONEO-PWY,PWY-7663,0.8933251381587604
GLUCONEO-PWY,TRNA-CHARGING-PWY,-0.7397978760245696
GLUTORN-PWY,PWY-6897,-0.4248090531588019
GLUTORN-PWY,PWY0-1296,0.9045169567977008
GLUTORN-PWY,THISYN-PWY,-0.4160437876126988
GLYCOGENSYNTH-PWY,PANTO-PWY,0.8934346666260753
GLYCOGENSYNTH-PWY,PWY-6527,0.8736901947895381
GLYCOGENSYNTH-PWY,PWY-7219,-0.24367154690743437
GLYCOGENSYNTH-PWY,TRNA-CHARGING-PWY,-0.16436779075611224
GLYCOLYSIS,PWY-6125,0.9034715097822323
GLYCOLYSIS,PWY-7219,-0.756040421234785
GLYCOLYSIS,PWY-7228,0.8952491554390871
GLYCOLYSIS,TRNA-CHARGING-PWY,-0.7182912187317678
GLYCOLYSIS,TRPSYN-PWY,0.8971382518565433
HISTSYN-PWY,PWY-6897,-0.30235146987715067
HISTSYN-PWY,PWY-7229,0.9046749842956696
HISTSYN-PWY,THISYN-PWY,-0.2926465306260174
HSERMETANA-PWY,PWY-5973,0.901360019624405
HSERMETANA-PWY,PWY-7219,-0.661461448363859
HSERMETANA-PWY,SER-GLYSYN-PWY,0.8969681067829026
HSERMETANA-PWY,TRNA-CHARGING-PWY,-0.6123085178386186
ILEUSYN-PWY,PWY-6897,-0.8675200727864737
ILEUSYN-PWY,PWY-7111,0.9051482536448665
ILEUSYN-PWY,THISYN-PWY,-0.8648613504643713
ILEUSYN-PWY,VALSYN-PWY,0.9051482536448665
NONOXIPENT-PWY,OANTIGEN-PWY,0.8895238274409061
NONOXIPENT-PWY,PWY-7219,-0.5126126932669787
NONOXIPENT-PWY,TRNA-CHARGING-PWY,-0.4490151588630644
OANTIGEN-PWY,PWY-7219,-0.5693950173826673
OANTIGEN-PWY,PWY0-1586,0.9015309227270201
OANTIGEN-PWY,PYRIDNUCSYN-PWY,0.9027343683001761
OANTIGEN-PWY,TRNA-CHARGING-PWY,-0.5108105877411007
PANTO-PWY,PANTOSYN-PWY,0.8587331009411123
PANTO-PWY,PWY-7219,-0.1852061903443056
PANTO-PWY,TRNA-CHARGING-PWY,-0.10418776691910456
PANTOSYN-PWY,PWY-5103,0.9016631016601037
PANTOSYN-PWY,PWY-6897,-0.024127138913110562
PANTOSYN-PWY,PWY-7199,0.9004700305954487
PANTOSYN-PWY,THISYN-PWY,-0.013483593539405734
PEPTIDOGLYCANSYN-PWY,PWY-6386,0.9016705334226348
PEPTIDOGLYCANSYN-PWY,PWY-6387,0.9036794707520516
PEPTIDOGLYCANSYN-PWY,PWY-6897,-0.7522490419340142
PEPTIDOGLYCANSYN-PWY,THISYN-PWY,-0.7475896295006282
PWY-1042,PWY-5686,0.9004745670585933
PWY-1042,PWY-6897,-0.8842701113550615
PWY-1042,PWY-7219,0.8842701113550615
PWY-1042,THISYN-PWY,-0.8819262900517338
PWY-1042,TRNA-CHARGING-PWY,0.9010586907166617
PWY-2942,PWY-5695,0.9035682406074883
PWY-2942,PWY-6124,0.9017484501297887
PWY-2942,PWY-6168,0.9041837212409765
PWY-2942,PWY-6897,-0.10623899524017587
PWY-2942,PWY-724,0.9036034858662793
PWY-2942,THISYN-PWY,-0.0957002353480879
PWY-3001,PWY-6317,0.9014932591303797
PWY-3001,PWY-7219,-0.43630230046017027
PWY-3001,PWY-7220,0.9030031860792082
PWY-3001,PWY-841,0.9036906496803102
PWY-3001,TRNA-CHARGING-PWY,-0.36691486072599083
PWY-3841,PWY-6385,0.9022826436631548
PWY-3841,PWY-6700,0.9035844990388574
PWY-3841,PWY-6897,-0.6949368584602993
PWY-3841,THISYN-PWY,-0.6893906501484837
PWY-4242,PWY-6897,-0.44504046333007213
PWY-4242,RIBOSYN2-PWY,0.9037405966599352
PWY-4242,THISYN-PWY,-0.4364615618404977
PWY-5097,PWY-6897,-0.5347583925002634
PWY-5097,THISYN-PWY,-0.5271125395055838
PWY-5100,PWY-5484,0.889872482754926
PWY-5100,PWY-7219,-0.8682944882149313
PWY-5100,TRNA-CHARGING-PWY,-0.8463956111761977
PWY-5100,UDPNAGSYN-PWY,0.9042917872381177
PWY-5103,PWY-6897,-0.043062785104283456
PWY-5103,PWY-7199,0.903995331470851
PWY-5103,THISYN-PWY,-0.03243064516196909
PWY-5484,PWY-7219,-0.8475583718228185
PWY-5484,TRNA-CHARGING-PWY,-0.8225391623412226
PWY-5484,UDPNAGSYN-PWY,0.8888861280212081
PWY-5667,PWY-6151,0.8955775743296529
PWY-5667,PWY-6897,-0.5747924140120875
PWY-5667,PWY0-1319,0.9051482536448665
PWY-5667,THISYN-PWY,-0.5676191318873222
PWY-5686,PWY-6609,0.8986811615009139
PWY-5686,PWY-6897,-0.87863321921231
PWY-5686,THISYN-PWY,-0.8761827383151317
PWY-5686,TRNA-CHARGING-PWY,0.8961944761676494
PWY-5695,PWY-6123,0.8942514370841571
PWY-5695,PWY-6126,0.8985582065950865
PWY-5695,PWY-6897,-0.11480805761938206
PWY-5695,PWY-724,0.9051135450429699
PWY-5695,THISYN-PWY,-0.10428852693221528
PWY-5973,PWY-7219,-0.649730094372231
PWY-5973,SER-GLYSYN-PWY,0.9009162209490841
PWY-5973,TRNA-CHARGING-PWY,-0.5992846750227452
PWY-6121,PWY-6122,0.8990019307123447
PWY-6121,PWY-6277,0.8990019307123447
PWY-6121,PWY-6897,-0.7201002460045803
PWY-6121,THISYN-PWY,-0.7149345787614272
PWY-6122,PWY-6277,0.9051482536448665
PWY-6122,PWY-6897,-0.7356180477913208
PWY-6122,THISYN-PWY,-0.7306939300553591
PWY-6123,PWY-6126,0.9011066947820838
PWY-6123,PWY-6897,-0.1708665264122377
PWY-6123,THISYN-PWY,-0.16051152271178246
PWY-6124,PWY-6168,0.9027362449545105
PWY-6124,PWY-6897,-0.08791285826196384
PWY-6124,THISYN-PWY,-0.07733823848475307
PWY-6125,PWY-7219,-0.7520708413155379
PWY-6125,TRNA-CHARGING-PWY,-0.713807509514527
PWY-6125,TRPSYN-PWY,0.8989191653051583
PWY-6126,PWY-6897,-0.14950499435820966
PWY-6126,THISYN-PWY,-0.13907936919539038
PWY-6151,PWY-6163,0.8919433410466288
PWY-6151,PWY-6897,-0.6076791362239741
PWY-6151,PWY0-1319,0.8955775743296529
PWY-6151,THISYN-PWY,-0.6009200590728078
PWY-6163,PWY-6897,-0.6491807397922612
PWY-6163,THISYN-PWY,-0.6429778866451547
